Date,series,OPEN,HIGH,LOW,PREV.CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,Nooftrades,close_infosys,values,company,close_TCS,close_wipro ,close_Mindtree 
17-Sep-20,EQ,794.95,817.5,789.5,789.25,806.3,808.3,807.67,"1,170.00",375.25,19972987,"16,131,626,946.25",266753,1001.75,,,"2,460.95",311.7,"1,274.70"
16-Sep-20,EQ,790.05,796.3,779.25,792.7,788.45,789.25,788.92,"1,170.00",375.25,7471542,"5,894,465,481.45",168914,982.45,,,"2,503.00",312.15,"1,260.60"
15-Sep-20,EQ,791.05,809.85,783.05,794.95,791.8,792.7,795.47,"1,170.00",375.25,14024787,"11,156,311,755.85",192773,978.4,,,"2,491.40",307.35,"1,251.70"
14-Sep-20,EQ,745,825.1,744.15,721.65,793,794.95,783.61,"1,170.00",375.25,32312531,"25,320,377,282.45",415569,945.7,,,"2,491.40",307.2,"1,221.70"
11-Sep-20,EQ,712,734,710.15,722.4,720.05,721.65,723.23,"1,170.00",375.25,7221687,"5,222,954,988.80",120764,940.05,,,"2,374.10",293.3,"1,183.80"
10-Sep-20,EQ,728.65,728.95,713.8,721.95,720.7,722.4,720.77,"1,170.00",375.25,3366359,"2,426,371,004.05",67465,927.75,,,"2,331.15",284.55,"1,175.70"
9-Sep-20,EQ,712.1,730.9,710.2,725.9,722.6,721.95,721.31,"1,170.00",375.25,5514179,"3,977,432,747.85",101369,939.3,,,"2,327.65",282.85,"1,172.50"
8-Sep-20,EQ,708.8,738.9,703.2,708.8,721.85,725.9,727.72,"1,170.00",375.25,11522742,"8,385,341,841.85",186330,925.05,,,"2,348.20",282.55,"1,186.95"
7-Sep-20,EQ,696.35,712.4,689.05,700.8,707.05,708.8,702.03,"1,170.00",375.25,4238823,"2,975,801,272.85",89393,919.15,,,"2,327.05",278.75,"1,205.30"
4-Sep-20,EQ,695.15,704.5,692.05,706.75,702,700.8,698.83,"1,170.00",375.25,3354844,"2,344,480,521.35",49600,935.55,,,"2,288.80",276,"1,194.15"
3-Sep-20,EQ,704.8,716.4,697.6,701.95,707.8,706.75,708.45,"1,170.00",375.25,5468161,"3,873,914,728.00",100811,924,,,"2,299.50",282.85,"1,205.80"
2-Sep-20,EQ,689.9,704.8,689.1,689.6,702.7,701.95,698.09,"1,170.00",375.25,4090511,"2,855,545,336.95",69906,914.15,,,"2,265.15",273.7,"1,194.15"
1-Sep-20,EQ,695,704,682.4,694.4,692.25,689.6,695.04,"1,170.00",375.25,6377322,"4,432,514,477.35",70102,928.6,,,"2,246.35",271.6,"1,141.30"
31-Aug-20,EQ,705,725,686,706.45,688.65,694.4,704.98,"1,170.00",375.25,7787176,"5,489,794,792.90",140233,935.25,,,"2,257.25",271.3,"1,155.75"
28-Aug-20,EQ,713.7,716.65,703.2,710.15,705.55,706.45,709.69,"1,170.00",375.25,5416682,"3,844,192,015.25",115684,947.05,,,"2,238.55",272.05,"1,184.70"
27-Aug-20,EQ,713.55,720,706.5,712.8,711.9,710.15,711.92,"1,170.00",375.25,3917059,"2,788,614,388.35",62402,950.8,,,"2,248.40",272.35,"1,149.35"
26-Aug-20,EQ,704.7,717.75,697,701.6,713.5,712.8,709.35,"1,170.00",375.25,4511551,"3,200,252,379.20",76393,938.1,,,"2,253.50",272.05,"1,171.75"
25-Aug-20,EQ,705,711.55,694.7,705.7,701,701.6,700.41,"1,170.00",375.25,3982510,"2,789,372,797.80",61808,947.4,,,"2,242.65",269.95,"1,137.35"
24-Aug-20,EQ,706.05,708.45,695.6,705.9,707.9,705.7,702.77,"1,170.00",375.25,4066936,"2,858,138,431.70",62460,948.8,,,"2,248.10",272.7,"1,153.10"
21-Aug-20,EQ,715,715,702.7,710.1,705.6,705.9,707.21,"1,170.00",375.25,4164686,"2,945,297,038.05",64644,955.15,,,"2,248.60",273.35,"1,162.55"
20-Aug-20,EQ,708.5,715.85,706.05,709.85,709.8,710.1,710.84,"1,170.00",375.25,3025769,"2,150,840,175.85",46933,959.3,,,"2,252.85",274.2,"1,174.65"
19-Aug-20,EQ,713.8,714.2,705,714.45,711,709.85,709.03,"1,170.00",375.25,4858027,"3,444,485,075.75",69223,967.55,,,"2,256.60",279.75,"1,171.70"
18-Aug-20,EQ,718.95,721.7,712.4,718.85,714.8,714.45,716.61,"1,170.00",375.25,3634311,"2,604,383,946.50",55841,957.5,,,"2,269.75",282.7,"1,166.75"
