Date,series ,OPEN,HIGH,LOW,PREV. CLOSE ,ltp ,close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
17-Dec-20,EQ,3307.1,3330,3258,3303.5,3264.85,3270.45,3278.58,3384.75,1788.65,678073,"2,223,119,480.00",56234
16-Dec-20,EQ,3289,3308.45,3252,3271.65,3307,3303.5,3289.31,3384.75,1788.65,616704,"2,028,533,476.35",34755
15-Dec-20,EQ,3284,3347.2,3262,3289,3271,3271.65,3297.45,3384.75,1788.65,746643,"2,462,019,121.05",46437
14-Dec-20,EQ,3327.65,3334.55,3265,3327.65,3288,3289,3291.88,3384.75,1788.65,425416,"1,400,417,671.80",30515
11-Dec-20,EQ,3295.6,3337.15,3285.55,3290.85,3317.65,3327.65,3315.06,3384.75,1788.65,611154,"2,026,012,476.90",37424
10-Dec-20,EQ,3306.2,3319.95,3272.05,3306.55,3295,3290.85,3296.11,3384.75,1788.65,469288,"1,546,824,627.35",32215
9-Dec-20,EQ,3335,3353.65,3300,3326.2,3307.6,3306.55,3321.59,3384.75,1788.65,397850,"1,321,493,570.80",26304
8-Dec-20,EQ,3320,3384.75,3300.55,3319.55,3334.15,3326.2,3342.83,3384.75,1788.65,823352,"2,752,325,762.40",50781
7-Dec-20,EQ,3311.4,3335,3267.8,3311.4,3320,3319.55,3308.68,3371.2,1788.65,481597,"1,593,449,423.35",29005
4-Dec-20,EQ,3298.3,3344.55,3288.2,3294.4,3311.25,3311.4,3313.88,3371.2,1788.65,739106,"2,449,311,066.95",36114
3-Dec-20,EQ,3368.7,3371.2,3281,3338.15,3298.3,3294.4,3307.47,3371.2,1788.65,965142,"3,192,177,907.60",47341
2-Dec-20,EQ,3243.65,3348,3221.5,3243.65,3326.8,3338.15,3308.27,3348,1788.65,1707284,"5,648,163,738.00",74954
1-Dec-20,EQ,3175.1,3248.95,3161,3173.55,3242,3243.65,3213.44,3315.15,1788.65,1400851,"4,501,554,577.30",73123
27-Nov-20,EQ,3144.9,3249,3135.7,3129.2,3170.25,3173.55,3204.3,3315.15,1788.65,2548347,"8,165,657,154.95",93783
26-Nov-20,EQ,3053,3150,3053,3051.25,3145,3129.2,3096.73,3315.15,1788.65,1264680,"3,916,374,374.95",60615
25-Nov-20,EQ,3100,3160,3041,3095.7,3045,3051.25,3112.04,3315.15,1788.65,1219151,"3,794,048,719.20",64380
24-Nov-20,EQ,3077,3122,3053,3077.75,3094.9,3095.7,3096.37,3315.15,1788.65,858928,"2,659,556,868.85",53118
23-Nov-20,EQ,3068,3085,3030.6,3058.55,3072.7,3077.75,3062.45,3315.15,1788.65,493600,"1,511,627,326.10",23310
20-Nov-20,EQ,3033,3085,3022,3034.25,3059,3058.55,3054.92,3315.15,1788.65,820220,"2,505,706,389.95",34444
19-Nov-20,EQ,3033,3056.5,3010,3037.9,3027.8,3034.25,3035.14,3315.15,1788.65,888406,"2,696,436,367.60",33727
18-Nov-20,EQ,3055.8,3055.8,3003.9,3045.15,3033,3037.9,3024.32,3315.15,1788.65,455293,"1,376,949,740.75",24583
17-Nov-20,EQ,3034,3048.9,2996.45,3041.9,3041.2,3045.15,3025.87,3315.15,1788.65,501135,"1,516,366,884.85",25559
14-Nov-20,EQ,3055.65,3065,3030,3040.75,3032.8,3041.9,3048.2,3315.15,1788.65,59697,"181,968,491.10",4175
13-Nov-20,EQ,3010,3048,2995.6,3017.45,3040.85,3040.75,3031.12,3315.15,1788.65,557563,"1,690,040,880.60",26756
12-Nov-20,EQ,3025,3040.9,2996.25,3023.1,3015.7,3017.45,3018.23,3315.15,1788.65,646257,"1,950,552,939.10",47670
11-Nov-20,EQ,3017.7,3040,2986.55,2997.5,3016.4,3023.1,3019.21,3315.15,1788.65,782511,"2,362,568,245.95",55897
10-Nov-20,EQ,3015,3022.5,2967,3001.95,2997.25,2997.5,2992.72,3315.15,1788.65,664054,"1,987,328,320.25",37340
9-Nov-20,EQ,2990,3022,2980,2977.4,2998,3001.95,3000.7,3315.15,1788.65,550477,"1,651,815,269.65",37732
6-Nov-20,EQ,2960,3000,2955,2949.3,2972.7,2977.4,2979.98,3315.15,1788.65,889565,"2,650,890,144.15",44452
5-Nov-20,EQ,2951,2970,2927,2926.1,2966,2949.3,2944.08,3315.15,1788.65,507235,"1,493,342,784.15",28691
4-Nov-20,EQ,2905,2947.75,2882.4,2914.85,2930,2926.1,2913.04,3315.15,1788.65,710858,"2,070,757,294.20",35789
3-Nov-20,EQ,2855.2,2929.95,2855.2,2843.7,2915.35,2914.85,2903.2,3315.15,1788.65,951287,"2,761,776,726.95",47523
2-Nov-20,EQ,2918,2934.85,2822.45,2886.9,2848,2843.7,2853.09,3315.15,1788.65,926407,"2,643,123,892.65",54427
30-Oct-20,EQ,2940,2963.2,2880.1,2925.35,2882.3,2886.9,2917.3,3315.15,1788.65,722940,"2,109,032,336.95",44676
29-Oct-20,EQ,2918.95,2934,2885,2944.05,2921.1,2925.35,2914.29,3315.15,1788.65,714821,"2,083,199,127.60",36407
28-Oct-20,EQ,2947,2967,2890.2,2947.35,2932.9,2944.05,2935.07,3315.15,1788.65,1197897,"3,515,908,821.15",52649
27-Oct-20,EQ,2910,2972.25,2853.05,2895.15,2942.5,2947.35,2929.83,3315.15,1788.65,1812330,"5,309,811,969.90",75948
26-Oct-20,EQ,3097.95,3113.75,2885,3082.25,2897,2895.15,2955.29,3315.15,1788.65,2140237,"6,325,027,313.20",107879
23-Oct-20,EQ,3030,3095.5,2997.15,3006.2,3090,3082.25,3050.95,3315.15,1788.65,1217666,"3,715,041,023.85",55756
22-Oct-20,EQ,3009.8,3039.45,2977,3018,2996.55,3006.2,3008.93,3315.15,1788.65,1701072,"5,118,398,717.50",92286
21-Oct-20,EQ,3030,3039.15,2992.05,3004.2,3020.15,3018,3021,3315.15,1788.65,982020,"2,966,680,187.70",39732
20-Oct-20,EQ,2980,3018.55,2957,2980,3004.05,3004.2,3001.64,3315.15,1788.65,899774,"2,700,801,530.75",45762
19-Oct-20,EQ,3070,3071.95,2970.2,3044.75,2986,2980,3006.81,3315.15,1788.65,598292,"1,798,952,229.20",32611
16-Oct-20,EQ,3030,3092,3029,3027.4,3051.55,3044.75,3058.15,3315.15,1788.65,548793,"1,678,293,959.10",27417
15-Oct-20,EQ,3059.95,3130,3019.45,3054.15,3024,3027.4,3078.35,3315.15,1788.65,1076100,"3,312,616,725.95",54349
14-Oct-20,EQ,3037.95,3075,3020,3034.45,3049,3054.15,3054.92,3315.15,1788.65,822555,"2,512,839,031.70",40969
13-Oct-20,EQ,3025,3051.1,2996.2,3022.75,3039.6,3034.45,3032.35,3315.15,1788.65,456767,"1,385,077,257.45",24486
12-Oct-20,EQ,3051,3074.65,3011.1,3059.8,3018.5,3022.75,3037.74,3315.15,1788.65,632718,"1,922,035,785.50",29847
